Date,Depth,Data,QC
01-12-2000 00:00:00,0 - 10.7,-0.1262,N
08-12-2000 00:00:00,0 - 10.7,-0.1206,N
15-12-2000 00:00:00,0 - 10.7,-0.1069,N
22-12-2000 00:00:00,0 - 10.7,-0.1262,N
08-01-2001 00:00:00,0 - 10.7,-0.1044,N
12-01-2001 00:00:00,0 - 10.7,-0.1262,N
19-01-2001 00:00:00,0 - 10.7,-0.1193,N
25-01-2001 00:00:00,0 - 10.7,-0.1589,N
01-02-2001 00:00:00,0 - 10.7,-0.1193,N
09-02-2001 00:00:00,0 - 10.7,-0.1262,N
16-02-2001 00:00:00,0 - 10.7,-0.1452,N
23-02-2001 00:00:00,0 - 10.7,-0.1193,N
02-03-2001 00:00:00,0 - 10.7,-0.1193,N
09-03-2001 00:00:00,0 - 10.7,-0.1347,N
16-03-2001 00:00:00,0 - 10.7,-0.1347,N
23-03-2001 00:00:00,0 - 10.7,-0.1347,N
30-03-2001 00:00:00,0 - 10.7,-0.1452,N
