Date,Depth,Data,QC
05-12-2005 00:00:00,0,35.7500,N
12-12-2005 00:00:00,0,35.8500,N
19-12-2005 00:00:00,0,35.6000,N
02-01-2006 00:00:00,0,36.2800,N
09-01-2006 00:00:00,0,36.3700,N
16-01-2006 00:00:00,0,36.3600,N
23-01-2006 00:00:00,0,36.2900,N
30-01-2006 00:00:00,0,36.4100,N
06-02-2006 00:00:00,0,36.3700,N
13-02-2006 00:00:00,0,36.3800,N
20-02-2006 00:00:00,0,37.0000,N
27-02-2006 00:00:00,0,37.1300,N
06-03-2006 00:00:00,0,36.9000,N
13-03-2006 00:00:00,0,36.9400,N
20-03-2006 00:00:00,0,37.0700,N
27-03-2006 00:00:00,0,37.2600,N
