Date,Depth,Data,QC
04-12-2014 00:00:00,0 - 19.9,0.4000,N
08-12-2014 00:00:00,0 - 19.9,0.6000,N
15-12-2014 00:00:00,0 - 19.9,0.7000,N
22-12-2014 00:00:00,0 - 19.9,0.6000,N
05-01-2015 00:00:00,0 - 19.9,0.4000,N
12-01-2015 00:00:00,0 - 19.9,0.7000,N
19-01-2015 00:00:00,0 - 19.9,0.4000,N
27-01-2015 00:00:00,0 - 19.9,0.6000,N
02-02-2015 00:00:00,0 - 19.9,2.0000,N
09-02-2015 00:00:00,0 - 19.9,0.7000,N
16-02-2015 00:00:00,0 - 19.9,1.3000,N
23-02-2015 00:00:00,0 - 19.9,1.3000,N
02-03-2015 00:00:00,0 - 19.9,1.1000,N
09-03-2015 00:00:00,0 - 19.9,1.8000,N
16-03-2015 00:00:00,0 - 19.9,2.0000,N
23-03-2015 00:00:00,0 - 19.9,2.1000,N
