Date,Depth,Data,QC
02-12-2013 00:00:00,0 - 20.9,6.0000,N
09-12-2013 00:00:00,0 - 20.9,7.4000,N
16-12-2013 00:00:00,0 - 20.9,12.6000,N
23-12-2013 00:00:00,0 - 20.9,9.8000,N
06-01-2014 00:00:00,0 - 20.9,8.7000,N
13-01-2014 00:00:00,0 - 20.9,8.2000,N
20-01-2014 00:00:00,0 - 20.9,8.1000,N
28-01-2014 00:00:00,0 - 20.9,6.8000,N
03-02-2014 00:00:00,0 - 20.9,5.4000,N
10-02-2014 00:00:00,0 - 20.9,6.5000,N
17-02-2014 00:00:00,0 - 20.9,6.8000,N
24-02-2014 00:00:00,0 - 20.9,10.0000,N
03-03-2014 00:00:00,0 - 20.9,9.2000,N
10-03-2014 00:00:00,0 - 20.9,7.0000,N
17-03-2014 00:00:00,0 - 20.9,9.7000,N
24-03-2014 00:00:00,0 - 20.9,12.9000,N
